11,essere,"to be"
12,sapere,"to know"
13,avere,"to have"
15,fare,"to make"
16,andare,"to go"
17,potere,"to be able to"
18,dare,"to give"
19,volere,"to want"
20,"venire (da)","to come"
21,stare,"to stay"
23,dovere,"to have to"
